Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
DRDGF,DRDGOLD LTD ORD,Pink Limited,3.680000,,0,Foreign Ordinary Shares,USA,New York
DXYN,DIXIE GROUP INC,OTCQB,0.515000,0.072917,1365,Common Stock,USA,Georgia
ENFY,ENLIGHTIFY INC,Pink Limited,0.040400,-0.004926,9598,Common Stock,USA,Iowa
DIMC,DIMECO INC,OTCQX,46.300000,0.001081,2233,Common Stock,USA,Pennsylvania
DLMI,DIAMOND LAKE MIN INC,OTCID,3.050000,0.016667,100,Common Stock,USA,Utah
BIOQ,BIOQUAL INC,OTCID,37.700000,-0.020779,214,Common Stock,USA,Maryland
DBSDF,DBS GROUP HLDGS LTD ORD,Pink Limited,49.062000,0.009922,5290,Foreign Ordinary Shares,Singapore,
DBSDY,DBS GROUP HLDGS LTD S/ADR,Pink Limited,189.205000,0.003527,136913,ADRs,Singapore,
GSAC,GELSTAT CORP,OTCID,0.000300,,0,Common Stock,USA,Florida
DTRL,DETROIT LEGAL NEWS CO,Pink Limited,275.000000,,0,Common Stock,USA,Michigan
DMFG,DECKER MANUFACTURING CORP,Pink Limited,59.000000,,0,Common Stock,USA,Michigan
LMEFF,LAURION MNRLS EXPL ORD,OTCID,0.188810,-0.079873,1069,Foreign Ordinary Shares,Canada,Ontario
DRTGF,JET2 PLC,Pink Limited,17.150000,,0,Foreign Ordinary Shares,United Kingdom,
DFIHY,DFI RETAIL GROUP UNSP/ADR,Pink Limited,16.760000,,0,ADRs,China,Hong Kong
DFILF,DFI RETAIL GRP HLDGS LTD,Pink Limited,3.870000,,0,Foreign Ordinary Shares,China,Hong Kong
DNPCF,DAI NIPPON PRINT ORD NEW,Pink Limited,18.100000,,0,Foreign Ordinary Shares,Japan,
DNPLY,DAI NIPPON PRINTING S/ADR,Pink Limited,9.050000,-0.006586,1922,ADRs,Japan,
DVLN,DVL INC,Pink Limited,3400.000000,,0,Common Stock,USA,New York
WLAN,WIALAN TECHNOLOGIES INC,OTCID,0.000700,,0,Common Stock,USA,Florida
CYAN,CYANOTECH CORP,OTCQB,0.463100,-0.025053,6736,Common Stock,USA,Hawaii
YUKA,YUKA GROUP INC,OTCID,0.058000,,0,Common Stock,USA,Florida
CREAF,CREATIVE TECH LTD ORD,Pink Limited,0.470000,,0,Foreign Ordinary Shares,Singapore,
CREAY,CREATIVE TECH LTD UNS/ADR,Pink Limited,0.000000,,0,ADRs,Singapore,
CTTAF,CONTL AG ORD,Pink Limited,81.960000,0.006880,403,Foreign Ordinary Shares,Germany,
CTTAY,CONTL AG S/ADR,Pink Limited,8.140000,0.021330,32312,ADRs,Germany,
CDNO,CONSOL CAP NORTH AMER INC,Pink Limited,0.003300,,0,Common Stock,USA,Colorado
CNLHN,CONN LT & PWR 3.90 PR,OTCID,32.990000,,10,Preferred Stock,USA,Connecticut
CNLHO,CONN LT & PWR 4.50 PR,OTCID,46.610000,,0,Preferred Stock,USA,Connecticut
CNLHP,CONN LT & PWR 4.50 PR(63),OTCID,39.000000,,0,Preferred Stock,USA,Connecticut
CNLPL,CONN LT & PWR 3.24 G PR,OTCID,52.270000,0.001149,191,Preferred Stock,USA,Connecticut
CNLPM,CONN LT & PWR 2.06 PR,OTCID,34.200000,0.011834,100,Preferred Stock,USA,Connecticut
CNLTL,CONN LT & PWR 1.90 PR,OTCID,31.500000,-0.012539,655,Preferred Stock,USA,Connecticut
CNLTN,CONN LT & PWR 2 PR,OTCID,34.250000,,0,Preferred Stock,USA,Connecticut
CNLTP,CONN LT & PWR 2.20 PR,OTCID,36.440000,,0,Preferred Stock,USA,Connecticut
CNPWM,CONN LT & PWR 2.09 F PR,OTCID,34.660000,0.011380,700,Preferred Stock,USA,Connecticut
CNPWP,CONN LT & PWR 2.04 PR,OTCID,34.240000,0.007059,310,Preferred Stock,USA,Connecticut
CNTHN,CONN LT & PWR 4.96 PR,OTCID,40.850000,0.000000,100,Preferred Stock,USA,Connecticut
CNTHO,CONN LT & PWR 5.28 PR,OTCID,46.900000,,0,Preferred Stock,USA,Connecticut
CNTHP,CONN LT & PWR 6.56 PR,OTCID,54.148000,0.012112,1145,Preferred Stock,USA,Connecticut
SMKG,SMART CARD MKTG SYS INC,Pink Limited,0.005000,0.000000,2000,Common Stock,USA,Delaware
CMPD,COMPUMED INC,OTCID,4.400000,,0,Common Stock,USA,California
CIBN,COMMUTY INV BANCORP INC,OTCQX,21.250000,,0,Common Stock,USA,Ohio
CRZBF,COMMERZBANK AG ORD NEW,Pink Limited,43.010000,,0,Foreign Ordinary Shares,Germany,
CRZBY,COMMERZBANK JUNGE ADR NEW,Pink Limited,41.730000,-0.010434,15682,ADRs,Germany,
CLEGF,COLES GROUP LTD,Pink Limited,16.370000,,0,Common Stock,Australia,
CLEGY,COLES GROUP LTD UNSP/ADR,Pink Limited,0.000000,,0,ADRs,Australia,
COCSF,COCA-COLA FEMSA SAB L NEW,Pink Limited,10.070000,0.007000,540,Foreign Ordinary Shares,Mexico,
WRLC,WINDROCK LD CO,Pink Limited,450.000000,,0,Common Stock,USA,Tennessee
CBAF,CITBA FINANCIAL CORP,OTCQX,37.500000,,0,Common Stock,USA,Indiana
BSPK,BESPOKE EXTRACTS INC,OTCQB,0.250000,,0,Common Stock,USA,Colorado
CAEN,CALIF-ENGELS MINING CO,OTCID,4.000000,,0,Common Stock,USA,California
WMMVF,WALMART DE MEX SAB CV ORD,OTCID,3.320000,0.047980,792374,Foreign Ordinary Shares,Mexico,
WMMVY,WAL-MART DE MEX V S/ADR,OTCQX,32.460000,-0.037081,216402,ADRs,Mexico,
CLPHF,CLP HLDGS LTD ORD,Pink Limited,9.500000,,0,Foreign Ordinary Shares,Hong Kong,
CLPHY,CLP HOLDINGS LTD S/ADR,Pink Limited,9.590000,0.006296,35248,ADRs,Hong Kong,
CPKF,CHESAPEAKE FINCL SHS INC,OTCQX,28.990000,0.003461,3989,Common Stock,USA,Virginia
DLPX,DELPHAX TECHS INC,OTCID,0.030000,,0,Common Stock,USA,Minnesota
CPIHF,CHAMPION TECH HLDGS,Pink Limited,0.020000,,0,Foreign Ordinary Shares,China,Hong Kong
CRMK,CERMETEK MICROELECTRONICS,Pink Limited,0.009400,,0,Common Stock,USA,California
AILIH,AMEREN ILLINOIS 4.08 PFD,Pink Limited,66.800000,0.017672,100,Preferred Stock,USA,Illinois
AILIM,AMEREN ILLINOIS 4.70 PFD,Pink Limited,77.250000,,0,Preferred Stock,USA,Illinois
AILIN,AMEREN ILLINOIS 4.42 PFD,Pink Limited,73.250000,,0,Preferred Stock,USA,Illinois
AILIO,AMEREN ILLINOIS 4.26 PFD,Pink Limited,69.100000,,0,Preferred Stock,USA,Illinois
AILIP,AMEREN ILLINOIS  4.20 PFD,Pink Limited,67.530000,,0,Preferred Stock,USA,Illinois
AILLI,AMEREN ILLINOIS CO 5.16PR,Pink Limited,87.000000,,0,Preferred Stock,USA,Illinois
AILLM,AMEREN ILLINOIS CO 4.92PR,Pink Limited,79.270000,,0,Preferred Stock,USA,Illinois
AILLN,AMEREN ILLINOIS CO 4.90PR,Pink Limited,78.850000,0.001270,100,Preferred Stock,USA,Illinois
AILLO,AMEREN ILLINOIS CO 4.25PR,Pink Limited,70.000000,,0,Preferred Stock,USA,Illinois
AILLP,AMEREN ILLINOIS 4 PFD,Pink Limited,65.041900,-0.003189,300,Preferred Stock,USA,Illinois
CXMSF,CEMEX SAB DE ORD,Pink Limited,1.250000,-0.045802,250,Foreign Ordinary Shares,USA,New York
CLHI,CLST HOLDINGS INC,Pink Limited,0.003000,,0,Common Stock,USA,Wyoming
CECL,CECIL BANCORP INC,OTCID,0.000000,,0,Common Stock,USA,Maryland
CPCAF,CATHAY PAC AIRWYS LTD ORD,Pink Limited,1.220000,,0,Foreign Ordinary Shares,China,Hong Kong
CPCAY,CATHAY PAC AIRWAYS S/ADR,Pink Limited,7.800000,0.000000,331,ADRs,China,Hong Kong
CSIOF,CASIO COMPUTER CO LTD,Pink Limited,8.260000,,0,Foreign Ordinary Shares,Japan,
CSIOY,CASIO COMPUTER UNSP/ADR,Pink Limited,96.000000,0.107951,187,ADRs,Japan,
CPTP,CAPITAL PROPERTIES INC A,OTCQX,13.130000,,0,Common Stock,USA,Rhode Island
CAJFF,CANON INC,Pink Limited,31.200000,0.000000,10650,Foreign Ordinary Shares,Japan,
CAJPY,CANON INC S/ADR,Pink Limited,31.270000,0.071257,75007,ADRs,Japan,
CRCUF,CANAGOLD RES LTD,OTCQB,0.482000,-0.027638,11649,Foreign Ordinary Shares,Canada,British Columbia
KJFI,COMJOYFUL INTL CO,OTCID,0.152000,,0,Common Stock,Canada,Ontario
GLGI,GREYSTONE LOGISTICS INC,OTCQB,0.350000,-0.047619,8263,Common Stock,USA,Oklahoma
KWIK,KWIKCLICK INC,OTCQB,1.300000,-0.161290,1000,Common Stock,USA,Utah
CCFN,MUNCY COLUMBIA FNCL,OTCQX,58.750000,-0.016736,3333,Common Stock,USA,Pennsylvania
CAWW,CCA INDUS INC,OTCID,0.500000,,0,Common Stock,USA,Pennsylvania
BUKS,BUTLER NATL CORP,OTCQX,3.000000,0.006711,14879,Common Stock,USA,Kansas
BZYR,BURZYNSKI RESH INSTITUTE,Pink Limited,0.022490,,0,Common Stock,USA,Texas
BURCA,BURNHAM HLDGS INC A,OTCID,23.860000,-0.001778,136,Common Stock,USA,Pennsylvania
BURCB,BURNHAM HLDGS INC B,OTCID,11.060000,,0,Common Stock,USA,Pennsylvania
BURCP,BURNHAM HLDGS INC 6 PFD,OTCID,47.250000,,0,Preferred Stock,USA,Pennsylvania
FRTN,FORTRAN CORPORATION,OTCID,0.111000,-0.008929,150,Common Stock,USA,North Carolina
WNMLA,WINMILL&CO INC A,OTCID,4.800000,,0,Common Stock,USA,New York
CFCI,CIPHER-CORE INC,OTCID,0.076000,,0,Common Stock,USA,Utah
BHPLF,BHP BILLITON LTD ORD,Pink Limited,37.500000,0.071429,3542626,Foreign Ordinary Shares,Australia,Victoria
EZES,EASY ENVIRNMNTL SOLUTIONS,Pink Limited,0.890000,-0.063158,28704,Common Stock,USA,Minnesota
KOAN,RESONATE BLENDS INC,OTCID,0.001850,-0.097561,5365273,Common Stock,USA,New Jersey
BPAQF,BP PLC ORD,Pink Limited,6.347500,0.021073,1424,Foreign Ordinary Shares,United Kingdom,
BPPFF,BP PLC 9% CUM 2ND PRF,Pink Limited,0.000000,,0,Preferred Stock,United Kingdom,
BABWF,INTL CONSOL AIRLINES ORD,Pink Limited,5.540000,,700,Foreign Ordinary Shares,United Kingdom,England
BCEPF,BCE INC 1ST PFD SER AC,Pink Limited,15.051700,,0,Preferred Stock,Canada,Quebec
ICAGY,INTL CONSL AIRLNS S/ADR,Pink Limited,11.360000,-0.011314,38118,ADRs,United Kingdom,England
BMYMP,BRISTOL-MYERS SQUIBB $2PR,Pink Limited,901.010000,,0,Preferred Stock,USA,New Jersey
BCAUF,BRILLIANCE CHINA AUT HLDG,Pink Limited,0.557000,,0,Foreign Ordinary Shares,China,Hong Kong
BRDCF,BRIDGESTONE CORP ORD,Pink Limited,21.000000,-0.070796,155,Foreign Ordinary Shares,Japan,
BRDCY,BRIDGESTONE CORP UNSP/ADR,Pink Limited,11.250000,-0.004425,239925,ADRs,Japan,
BWEL,BOSWELL (J G) CO,Pink Limited,475.000000,-0.010417,258,Common Stock,USA,California
KEGS,1812 BREWING COMPANY INC,OTCID,0.000300,-0.250000,1807845,Common Stock,USA,New York
NSARO,NSTAR ELECTRIC CO 4.78 PR,OTCID,80.510000,,0,Preferred Stock,USA,Massachusetts
NSARP,NSTAR ELECTRIC CO 4.25 PR,OTCID,71.500000,,100,Preferred Stock,USA,Massachusetts
BOREF,BOREALIS EXPLORATION LTD,Pink Limited,2.000000,0.428571,950,Foreign Ordinary Shares,Gibraltar,
OGFGF,ORIGIN ENERGY LTD ORD,Pink Limited,7.170000,,0,Foreign Ordinary Shares,Australia,New South Wales
OGFGY,ORIGIN ENERGY UNSP/ADR,Pink Limited,7.403600,,0,ADRs,Australia,New South Wales
BNSOF,BONSO ELECTRS INTL INC,Pink Limited,2.360000,0.140097,200,Common Stock,Hong Kong,
BONL,BONAL INTL INC,Pink Limited,0.880000,,0,Common Stock,USA,Michigan
BRRE,BLUE RIDGE REAL ESTATE CO,OTCID,8.400000,,0,Common Stock,USA,Pennsylvania
BDCO,BLUE DOLPHIN ENERGY CO,OTCQX,1.290000,,115,Common Stock,USA,Texas
BCEXF,BCE INC 1ST PFD SER AK,Pink Limited,10.000000,,0,Preferred Stock,Canada,Quebec
RECX,RECREATIVES INDS INC,OTCID,0.003400,-0.370370,3432676,Common Stock,USA,Florida
PWCO,PWRCOR INC,Pink Limited,0.010000,-0.408284,157,Common Stock,USA,New York
BNET,BION ENVIR TECHS INC,OTCQB,0.190000,-0.095238,21105,Common Stock,USA,New York
CETI,CYBER ENVIRO-TECH INC.,OTCQB,0.015110,1.041892,1904792,Common Stock,USA,Arizona
GBBFF,GRANADA GOLD MINE INC,Pink Limited,0.061600,-0.212276,823713,Foreign Ordinary Shares,Canada,Quebec
KRTL,KRTL HOLDING GROUP INC,OTCID,0.057900,-0.064620,13750,Common Stock,USA,Colorado
NSTM,NOVELSTEM INTL CORP,Pink Limited,0.018400,,0,Common Stock,USA,Florida
BMBN,BENCHMARK BANKSHARES INC,OTCID,35.480000,0.037427,300,Common Stock,USA,Virginia
BVERS,BEAVER COAL CO LTD SBI,Pink Limited,2770.000000,,0,Fund,USA,Pennsylvania
BAYRY,BAYER AG S/ADR,OTCQX,13.170000,-0.020818,2230875,ADRs,Germany,
BAYZF,BAYER A G ORD,OTCQX,53.070000,-0.031569,1966,Foreign Ordinary Shares,Germany,
AFFL,AFFILIATED RES CORP,OTCID,0.048000,,0,Common Stock,USA,California
BRRAY,BARLOWORLD LTD UNSP/ADR,Pink Limited,15.500000,,0,ADRs,South Africa,
BCLYF,BARCLAYS PLC,Pink Limited,6.812500,-0.032315,29627,Foreign Ordinary Shares,United Kingdom,England
BWVTF,IPATH EXCHBUYWRITE INDEX,Pink Limited,115.000000,,0,Structured Product,United Kingdom,
JJETF,IPATH BLOOM ENERGY SUB,Pink Limited,5.500000,,0,Structured Product,United Kingdom,
BKIMF,BANKINTER SA REG SHS,Pink Limited,16.413500,,0,Foreign Ordinary Shares,Spain,
BKNIY,BANKINTER SA S/ADR,Pink Limited,17.210000,0.005845,29994,ADRs,Spain,
BKUT,BANK OF UTICA NY,OTCID,536.000000,,0,Common Stock,USA,New York
BKUTK,BANK OF UTICA NY NON VTG,OTCID,546.000000,0.030189,45,Common Stock,USA,New York
BKEAF,BANK OF EAST ASIA LTD REG,Pink Limited,1.670000,,0,Foreign Ordinary Shares,China,
BKEAY,BANK OF EAST ASIA S/ADR,Pink Limited,1.702900,,111,ADRs,China,
BCDRF,BANCO SANTNDR NEW REG SHS,Pink Limited,12.980000,-0.008252,12826,Foreign Ordinary Shares,Spain,
BPCGF,BANCO COMML POR ORD NEW,Pink Limited,0.960000,,0,Foreign Ordinary Shares,Portugal,
BPCGY,BANCO COMERCAIL UNSP/ADR,Pink Limited,10.775000,-0.096815,1003,ADRs,Portugal,
BBVXF,BANCO BILBAO V/ARGNTNA SA,Pink Limited,24.700000,-0.027942,11148,Foreign Ordinary Shares,Spain,
BKFG,BKF CAPITAL GROUP INC,OTCID,55.000000,0.100000,855,Common Stock,USA,California
BBBK,BAKER BOYER BANCORP WALLA,OTCID,42.000000,-0.027787,868,Common Stock,USA,Washington
BCAEF,BCE INC 1ST PFD SHS CL AE,Pink Limited,0.000000,,0,Preferred Stock,Canada,Quebec
BCEFF,BCE INC 1ST PFD SER Y,Pink Limited,13.919700,,0,Preferred Stock,Canada,Quebec
BCENF,BCE INC 1ST PFD CL AI,Pink Limited,0.000000,,0,Preferred Stock,Canada,Quebec
BCPPF,BCE INC 1ST PFD SER AA,Pink Limited,11.000000,,0,Preferred Stock,Canada,Quebec
BECEF,BCE INC 1ST PFD CL (AH),Pink Limited,13.660000,,0,Preferred Stock,Canada,Quebec
BASFY,BASF SE S/ADR,OTCQX,13.820000,0.008023,101608,ADRs,Germany,
BFFAF,BASF SE ORD,OTCQX,55.750000,,20,Foreign Ordinary Shares,Germany,
GSPI,GREEN STAR PRODUCTS INC,OTCID,0.000800,-0.200000,12723,Common Stock,USA,Texas
AZLCZ,AZTEC LND&CATTLE CO C/CTF,Pink Limited,2030.000000,0.020105,21,Common Stock,USA,Arizona
AVOA,AVOCA LLC,OTCID,1355.000000,,0,Common Stock,USA,Louisiana
MMTIF,MICROMEM TECHS INC,OTCQB,0.028000,-0.020979,158403,Foreign Ordinary Shares,Canada,Ontario
LAWIL,LIGHT & WONDER INC CDI,Pink Limited,0.000000,,0,Other Security Type,USA,Nevada
LNWO,LIGHT & WONDER INC,Pink Limited,116.190000,0.019300,168683,Common Stock,USA,Nevada
AUSI,AURA SYSTEMS INC,Pink Limited,0.127700,,2,Common Stock,USA,California
ACMDY,ATLAS CONS MNG&DEV AT ADR,Pink Limited,1.350000,,0,ADRs,Philippines,
ATROB,ASTRONICS CORP B,Pink Limited,76.880000,,60,Common Stock,USA,New York
ASTO,ASTRO COMMUNICATIONS INC,Pink Limited,1.690000,,0,Common Stock,USA,New Jersey
ASGLF,AGC INC,Pink Limited,30.400000,,0,Foreign Ordinary Shares,Japan,
ASGLY,AGC INC UNSP/ADR,Pink Limited,7.130000,-0.008345,693,ADRs,Japan,
ARYTF,ARYT INDUSTRIES LTD,Pink Limited,19.500000,,0,Foreign Ordinary Shares,Israel,
ARTNB,ARTESIAN RES CORP B,OTCQB,33.510000,,0,Common Stock,USA,Delaware
AMNF,ARMANINO FOODS DIST INC,OTCQX,11.990000,0.000000,8043,Common Stock,USA,California
RMTO,RM2 INTERNATIONAL INC,Pink Limited,0.040000,,20,Common Stock,USA,Florida
AGTT,ANGSTROM TECHNOLOGIES INC,Pink Limited,0.085000,0.416667,32000,Common Stock,USA,Kentucky
CFNB,CALIFORNIA FIRST LEASING,OTCID,27.800000,,100,Common Stock,USA,California
ARTM,AMER NORTEL COMMUN INC,OTCID,0.041187,0.207830,100,Common Stock,USA,Arizona
FZMD,FUSE MEDICAL INC,Pink Limited,0.030000,,0,Common Stock,USA,Texas
HIRU,HIRU CORP,OTCID,0.007695,0.039865,30327356,Common Stock,USA,Georgia
VNTA,VENTANA GLOBAL INC,OTCID,0.037000,,0,Common Stock,USA,Colorado
ABLT,AMERICAN BILTRITE INC,Pink Limited,71.000000,,0,Common Stock,USA,Massachusetts
ABCP,AMBASE CORP,Pink Limited,0.192080,-0.039600,1800,Common Stock,USA,Florida
ALTX,ALTEX INDUS INC,Pink Limited,0.290000,,0,Common Stock,USA,Colorado
AFRRF,AFR NUVENTURE RES INC,Pink Limited,0.000100,,0,Foreign Ordinary Shares,Canada,British Columbia
IVFH,INNOVATIVE FOOD HLDGS INC,OTCQB,0.460000,-0.021277,2850,Common Stock,USA,Illinois
ALBKY,ALPHA SVCS & HLDGS S/ADR,Pink Limited,1.180000,0.008547,34530,ADRs,Greece,
APTL,ALASKA PWR & TEL CO,OTCID,58.520000,,0,Common Stock,USA,Alaska
AKZOF,AKZO NOBEL NV ORD NEW,OTCQX,69.910100,,0,Foreign Ordinary Shares,The Netherlands,
AKZOY,AKZO NOBEL N V S/ADR,OTCQX,23.690000,0.017175,74121,ADRs,The Netherlands,
AJINF,AJINOMOTO CO INC,Pink Limited,23.000000,-0.094845,351,Foreign Ordinary Shares,Japan,
AJINY,AJINOMOTO CO UNSP/ADR,Pink Limited,22.660000,0.028131,68369,ADRs,Japan,
SPQS,SPORTSQUEST INC,OTCID,0.000300,0.000000,80098,Common Stock,USA,Florida
BELR,BELL ROSE CAPITAL INC,OTCID,0.000200,-0.200000,5225000,Common Stock,USA,Wyoming
AGDY,AGRI-DYNAMICS INC,OTCID,0.004740,,0,Common Stock,USA,California
AMMX,AMERAMEX INTL INC,Pink Limited,0.132500,0.000453,400,Common Stock,USA,California
AEGOF,AEGON LTD,Pink Limited,7.700000,,0,Foreign Ordinary Shares,The Netherlands,
ASMIY,ASM INTL NV NY REG SHS,OTCQX,852.530000,-0.006051,15590,ETFs,The Netherlands,
ASMXF,ASM INTERNATIONAL NV,OTCID,826.235000,-0.064467,10,Foreign Ordinary Shares,The Netherlands,
VLMTY,VALMET OYJ UNSP/ADR,Pink Limited,33.900000,,0,ADRs,Finland,
STRH,STAR8 CORP,Pink Limited,0.001600,-0.030303,709955,Common Stock,USA,Florida
WHEN,WORLD HEALTH ENERGY HLDGS,OTCID,0.000100,-0.500000,791500,Common Stock,USA,Florida
AOXY,ADVANCED OXYGEN TECHS INC,Pink Limited,0.109000,1.137255,250,Common Stock,USA,Vermont
AHEXF,ADECCO GROUP AG ORD,Pink Limited,26.350000,,0,Foreign Ordinary Shares,Switzerland,
AHEXY,ADECCO GROUP AG UNSP/ADR,Pink Limited,14.045000,-0.003901,5824,ADRs,Switzerland,
AHIX,ALUF HOLDINGS INC,OTCID,0.004140,0.335484,3000,Common Stock,USA,Florida
ACMT,ACMAT CORP,OTCID,33.000000,,0,Common Stock,USA,Connecticut
ACMTA,ACMAT CORP A,OTCID,26.000000,,0,Common Stock,USA,Connecticut
KRFG,"KING RESOURCES, INC",OTCID,0.800000,-0.038892,398,Common Stock,Hong Kong,
HHHEF,37 CAPITAL INC,Pink Limited,0.089500,,0,Foreign Ordinary Shares,Canada,British Columbia
ADMT,ADM TRONICS UNLTD INC,OTCQB,0.090000,,0,Common Stock,USA,New Jersey
AAVMY,ABN AMR BK N V UNSP/ADR,Pink Limited,36.940000,0.005581,8200,ADRs,The Netherlands,
ELRXF,AKTIEBOLAGET ELECTROLUX B,Pink Limited,7.340000,,0,Foreign Ordinary Shares,Sweden,
ELUXY,AB ELECTROLUX B S/ADR,Pink Limited,14.310000,-0.028513,2559,ADRs,Sweden,
YNVYF,YNVISIBLE INTERACTIVE INC,OTCQB,0.095600,-0.129960,2250,Foreign Ordinary Shares,Canada,British Columbia
RWMI,REGALWORKS MEDIA INC,OTCID,0.105750,0.343710,200,Common Stock,USA,Maryland
ASMLF,ASML HOLDING NV ORD,Pink Limited,1459.978000,0.019600,1359,Foreign Ordinary Shares,The Netherlands,
AIMH,AIMRITE HOLDINGS CORP,OTCID,0.018100,,0,Common Stock,USA,California
ALNPF,ANA HOLDINGS INC ORD NEW,Pink Limited,20.110000,,0,Foreign Ordinary Shares,Japan,
ALNPY,ANA HOLDINGS INC S/ADR,Pink Limited,3.800000,-0.021879,235,ADRs,Japan,
USAQ,"QHSLAB, INC",OTCQB,0.760000,,0,Common Stock,USA,Florida
HLPPF,HANG LUNG PPTYS LTD,OTCID,1.085500,,0,Foreign Ordinary Shares,Hong Kong,
HLPPY,HANG LUNG PPTYS S/ADR,OTCID,5.950000,0.005068,1815,ADRs,Hong Kong,
CGRA,CGROWTH CAPITAL INC,Pink Limited,0.001800,0.111111,3430203,Common Stock,USA,Kentucky
WINT,WINDTREE THERAPEUTICS NEW,OTCID,0.016100,-0.152632,1289275,Common Stock,USA,Pennsylvania
WINTW,WINDTREE THERAPTICS WT 26,OTCID,0.008500,,0,Warrants,USA,Pennsylvania
APCFF,ATLAS PEARLS LTD,Pink Limited,0.040000,,0,Foreign Ordinary Shares,Australia,Western Australia
NSFDF,NXT ENERGY SLTNS INC ORD,OTCQB,0.220000,-0.018733,2500,Foreign Ordinary Shares,Canada,Alberta
BNCC,BNCCORP INC,OTCQX,37.000000,0.004071,1156,Common Stock,USA,North Dakota
TIPS,TIANRONG INTERNET PROD SV,OTCID,0.010000,-0.319728,247700,Common Stock,USA,Pennsylvania
BKSC,BANK OF SO CAROLINA CORP,OTCQX,15.600000,0.003215,648,Common Stock,USA,South Carolina
BPOPO,POPULAR M/I 6.375A PFD,Pink Limited,25.000000,,0,Preferred Stock,USA,Puerto Rico
LFEV,LIFE ELECTRIC VEHICLES,OTCID,0.800000,,10,Common Stock,USA,Florida
GLMFF,GLACIER MEDIA INC,Pink Limited,0.232600,,0,Foreign Ordinary Shares,Canada,British Columbia
HDUP,HEADSUP ENTMT INTL INC,OTCID,0.004475,-0.072539,5025,Common Stock,USA,Florida
ACBD,ANNABIDIOL CORP,OTCID,0.102000,-0.895918,1188,Common Stock,USA,Massachusetts
CHJTF,CSPC PHARM GROUP LTD ORD,Pink Limited,1.200000,,0,Foreign Ordinary Shares,China,Hong Kong
CSPCY,CSPC PHARMS GRP U/ADR,Pink Limited,5.350000,0.019048,711,ADRs,China,Hong Kong
CDEVF,CITY DEVELOPMENTS LTD ORD,Pink Limited,7.100000,,0,Foreign Ordinary Shares,Singapore,
CDEVY,CITY DEVELOPMENTS S/ADR,Pink Limited,7.090000,-0.037992,2187,ADRs,Singapore,
CDTI,CDTI ADVANCED MATERIALS,Pink Limited,0.930000,-0.010638,6000,Common Stock,USA,California
VLXC,VELTEX CORP,OTCQB,0.040200,0.002494,6612,Common Stock,USA,Illinois
CNAF,COMML NATL FINCL CORP PA,OTCQX,7.973000,-0.002128,105,Common Stock,USA,Pennsylvania
CNGA,CONAIR CORPORATION NY,Pink Limited,0.290000,,0,Common Stock,USA,New York
CSCMY,COSCO SHP INT LTD S/ADR,Pink Limited,0.428200,-0.126122,628,ADRs,Singapore,
DBIN,DACOTAH BANKS INC,OTCQX,42.000000,-0.055623,5400,Common Stock,USA,South Dakota
ADZCF,DEUTSCHE BK AGRI SHT ETN,Pink Limited,35.000100,,0,Other Security Type,Germany,
DEENF,DEUTSCHE BK CMMDTY ETN,Pink Limited,3.000000,,0,Other Security Type,Germany,
PYYX,PYXUS INTL INC NEW,OTCID,3.000000,0.000000,1500,Common Stock,USA,North Carolina
ELEZF,ENDESA SA MADRID,Pink Limited,36.000000,-0.061767,2350,Foreign Ordinary Shares,Spain,
ELEZY,ENDESA SA UNSP/ADR,Pink Limited,18.500000,0.002710,25284,ADRs,Spain,
WNBD,WINNING BRANDS CORP,OTCID,0.000001,0.000000,23777,Common Stock,USA,Delaware
SIPC,SIPP INDUSTRIES INC NEW,OTCID,0.001200,-0.040000,312066,Common Stock,USA,California
GEBEY,GENTING BERHAD ADR,OTCID,0.590000,,0,ADRs,Malaysia,
GEBHF,GENTING BERHAD ORD,OTCID,0.792800,,0,Foreign Ordinary Shares,Malaysia,
GEBHY,GENTING BERHAD SPONS ADR,OTCID,3.990000,0.105263,29415,ADRs,Malaysia,
GTPS,GREAT AMER BANCORP INC,OTCID,68.240000,,0,Common Stock,USA,Illinois
APGI,AMERICAN POWER GROUP CORP,Pink Limited,0.005650,,0,Common Stock,USA,Iowa
CRAWA,CRAWFORD UNITED CORP,Pink Limited,82.060000,0.000366,3302,Common Stock,USA,Ohio
HBIA,HILLS BANCORP OF IOWA,OTCID,81.500000,,13,Common Stock,USA,Iowa
AATC,AUTOSCOPE TECHS CORP,OTCQX,5.740000,-0.015437,1306,Common Stock,USA,Minnesota
IMPM,IMPAC MORTGAGE HLDGS INC,Pink Limited,0.069900,0.027186,29806,Common Stock,USA,California
KLBAY,KLABIN SA S/ADR,Pink Limited,7.365000,-0.028364,1472,ADRs,Brazil,
HPDHF,HOPSON DEVELOPMENT HLDG,Pink Limited,0.330000,,0,Foreign Ordinary Shares,,
GTLL,GLOBAL TECHS LTD,Pink Limited,0.000100,0.000000,600850,Common Stock,USA,North Carolina
FUNR,FUNR,OTCID,0.000200,-0.333333,2554075,Common Stock,USA,California
MMCP,"MAG MILE CAPITAL,INC",OTCQB,0.100000,,0,Common Stock,USA,Illinois
QMCI,QUOTEMEDIA INC,OTCQB,0.140000,-0.066044,42000,Common Stock,USA,Arizona
